log_id,source_node,target_node,edge_type,label
invictus_enriched.csv:1607,arn:aws:iam::123837392027:user/bert-jan,i-0dbc91f429e48eeed,DescribeInstanceAttribute,0
invictus_enriched.csv:1608,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1609,arn:aws:iam::123837392027:user/bert-jan,stratus-red-team-ctes-trail-qyxyekjbtk,DeleteTrail,1
invictus_enriched.csv:1610,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1611,arn:aws:iam::123837392027:user/bert-jan,aws_service,GetUser,0
invictus_enriched.csv:1612,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-0,GetParameter,0
invictus_enriched.csv:1613,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1614,arn:aws:iam::123837392027:user/bert-jan,aws_service,GetUser,0
invictus_enriched.csv:1615,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
invictus_enriched.csv:1616,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
invictus_enriched.csv:1617,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1618,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1619,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1620,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeInstanceCreditSpecifications,0
invictus_enriched.csv:1621,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
invictus_enriched.csv:1622,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1623,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
invictus_enriched.csv:1624,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
invictus_enriched.csv:1625,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1626,unknown_principal,aws_service,EndSecretVersionDelete,0
invictus_enriched.csv:1627,unknown_principal,aws_service,StartSecretVersionDelete,0
invictus_enriched.csv:1628,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1629,arn:aws:iam::123837392027:user/bert-jan,aws_service,GetUser,0
invictus_enriched.csv:1630,arn:aws:iam::123837392027:user/bert-jan,stratus-red-team-ctlr-trail-zqfsvooxqj,DeleteTrail,1
invictus_enriched.csv:1631,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1632,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1633,arn:aws:iam::123837392027:user/bert-jan,stratus-red-team-ec2-steal-credentials-role,DetachRolePolicy,0
invictus_enriched.csv:1634,arn:aws:iam::123837392027:user/bert-jan,stratus-red-team-ctlr-bucket-zqfsvooxqj,DeleteBucket,0
invictus_enriched.csv:1635,arn:aws:iam::123837392027:user/bert-jan,rtbassoc-0b911e98f29251a51,DisassociateRouteTable,0
invictus_enriched.csv:1636,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeRouteTables,0
invictus_enriched.csv:1637,arn:aws:iam::123837392027:user/bert-jan,i-05c30218156bcc246,ModifyInstanceAttribute,0
invictus_enriched.csv:1638,arn:aws:iam::123837392027:user/bert-jan,rtbassoc-0239fd3312c79a700,DisassociateRouteTable,0
invictus_enriched.csv:1639,arn:aws:iam::123837392027:user/bert-jan,aws_service,TerminateInstances,0
invictus_enriched.csv:1640,arn:aws:iam::123837392027:user/bert-jan,rtbassoc-06c42ea03f0967f18,DisassociateRouteTable,0
invictus_enriched.csv:1641,arn:aws:iam::123837392027:user/bert-jan,stratus-red-team-ctes-bucket-qyxyekjbtk,DeleteBucket,0
invictus_enriched.csv:1642,arn:aws:iam::123837392027:user/bert-jan,rtb-08838187a84b2f5bf,DeleteRoute,0
invictus_enriched.csv:1643,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1644,arn:aws:iam::123837392027:user/bert-jan,aws_service,GetUser,0
invictus_enriched.csv:1645,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeRouteTables,0
invictus_enriched.csv:1646,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeRouteTables,0
invictus_enriched.csv:1647,arn:aws:iam::123837392027:user/bert-jan,rtbassoc-000d4a90bd5c12cfb,DisassociateRouteTable,0
invictus_enriched.csv:1648,arn:aws:iam::123837392027:user/bert-jan,rtb-01a1e48796093c514,DeleteRoute,0
invictus_enriched.csv:1649,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeRouteTables,0
invictus_enriched.csv:1650,arn:aws:iam::123837392027:user/bert-jan,i-0dbc91f429e48eeed,ModifyInstanceAttribute,0
invictus_enriched.csv:1651,arn:aws:iam::123837392027:user/bert-jan,rtb-0d4916f528a90fa4e,DeleteRoute,0
invictus_enriched.csv:1652,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
invictus_enriched.csv:1653,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeRouteTables,0
