log_id,source_node,target_node,edge_type,label
578,arn:aws:sts::123837392027:assumed-role/stratus-red-team-ec2-steal-credentials-role/i-0dbc91f429e48eeed,i-0dbc91f429e48eeed,UpdateInstanceAssociationStatus,0
579,arn:aws:sts::123837392027:assumed-role/stratus-red-team-ec2-steal-credentials-role/i-0dbc91f429e48eeed,i-0dbc91f429e48eeed,PutComplianceItems,0
580,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
581,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
582,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
583,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
584,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
585,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
586,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
587,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-39,PutParameter,0
588,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
589,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
590,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
591,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-16,PutParameter,0
592,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
593,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-39,GetParameter,0
594,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-4,GetParameter,0
595,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-4,PutParameter,0
596,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
597,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
598,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
599,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-3,PutParameter,0
600,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
601,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
602,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
603,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
604,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
605,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
606,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-16,GetParameter,0
607,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
608,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-3,GetParameter,0
609,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
610,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
611,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
